"longitude" "latitude" "date" "ozone"
"-90.275" "30.04333" "08-01-2001" "51.375"
"-92.05139" "30.2175" "08-01-2001" "45.25"
"-90.76518" "29.76389" "08-01-2001" "48.5"
"-90.8125" "30.3125" "08-01-2001" "38"
"-90.10278" "29.99444" "08-01-2001" "34.5"
"-92.0461" "32.50971" "08-01-2001" "44"
"-91.36667" "30.68472" "08-01-2001" "36.5"
"-89.99861" "29.98194" "08-01-2001" "45.25"
"-90.41055" "29.98417" "08-01-2001" "41.875"
"-90.82" "29.99444" "08-01-2001" "42.5"
"-90.60833" "30.05833" "08-01-2001" "47.875"
"-91.21" "29.71528" "08-01-2001" "47.875"
"-91.20972" "30.50194" "08-01-2001" "44.5"
"-70.20778" "43.56083" "08-01-2001" "49.125"
"-68.30639" "44.23944" "08-01-2001" "37.429"
"-68.22722" "44.35167" "08-01-2001" "51.714"
"-68.26083" "44.37695" "08-01-2001" "42.625"
"-69.78555" "44.23028" "08-01-2001" "45.75"
"-69.26195" "43.9175" "08-01-2001" "39.429"
"-70.85555" "44.22222" "08-01-2001" "29"
"-68.6785" "44.73487" "08-01-2001" "46.875"
"-69.21389" "45.16417" "08-01-2001" "34.5"
"-70.62" "43.65917" "08-01-2001" "46.625"
"-70.47139" "43.34306" "08-01-2001" "52.5"
